block_id,project_id,project_name,registry,vintage_year,quantity_available,scope,activity_type,reduction_or_removal,methodology,country,region,first_project_vintage,project_status,arb_wa_project,estimated_annual_reductions
CB-116,GS3597,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-083,GOLD,2022,8436,Household & Community,Biodigesters,Reduction,,China,Eastern Asia,2015,Gold Standard Certified Project,No,10553
CB-117,GS4446,11.35 MW bundled renewable energy based power generation by Interocean Group,GOLD,2023,13788,Renewable Energy,Solar - Centralized,Reduction,AMS-I.D. Grid connected renewable electricity generation,India,Southern Asia,2017,Gold Standard Certified Project,No,20766
CB-118,GS4813,Sidrap Wind Farm Project Phase 1,GOLD,2021,67070,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Indonesia,South-Eastern Asia,2018,Gold Standard Certified Project,No,141248
CB-119,GS4822,Barroso 20MW hydroelectric project,GOLD,2021,49240,Renewable Energy,Hydropower,Reduction,,Colombia,Latin America and the Caribbean,2018,Gold Standard Certified Project,No,51535
CB-120,GS4962,Wind Power Project in Madhya Pradesh by OBWPPL,GOLD,2021,108075,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,India,Southern Asia,2016,Gold Standard Certified Project,No,107058
CB-121,GS5003,Bamako Clean Cookstoves - Improving livelihoods and fighting desertification in the Sahel zone,GOLD,2021,73616,Household & Community,Cookstoves,Reduction,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,Mali,Sub-Saharan Africa,2016,Gold Standard Certified Project,No,101650
CB-122,GS5125,Eritrea Community Boreholes,GOLD,2022,62496,Household & Community,Community Boreholes,Reduction,GS Methodology for emission reductions from safe drinking water supply,Eritrea,Sub-Saharan Africa,2016,Gold Standard Certified Project,No,37840
CB-123,GS5229,Bergres Wind Power Project,GOLD,2023,7537,Renewable Energy,Wind,Reduction,,Türkiye,Western Asia,2017,Gold Standard Certified Project,No,139766
CB-124,GS5418,The Breathing Space Improved Cooking Stoves Programme India - VPA No. 13 Envirofit,GOLD,2021,700,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,India,Southern Asia,2017,Gold Standard Certified Project,No,22616
CB-125,GS5801,African Biogas Carbon Programme (ABC) - Kenya - VPA006,GOLD,2022,2550,Household & Community,Biodigesters,Reduction,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,Kenya,Sub-Saharan Africa,2017,Gold Standard Certified Project,No,0
CB-126,GS6289,Renoe Acipayam Solar Power Plant,GOLD,2021,10128,Renewable Energy,Solar - Centralized,Reduction,AMS-I.D. Grid connected renewable electricity generation,Türkiye,Western Asia,2018,Gold Standard Certified Project,No,10
CB-127,GS6301,Household Biogas plants installed in rural areas of Uttar Pradesh & Maharashtra,GOLD,2024,15546,Household & Community,Biodigesters,Reduction,AMS-I.E. Switch from non-renewable biomass for thermal applications by the user,India,Southern Asia,2017,Gold Standard Certified Project,No,50000
CB-128,GS6830,Solar Water Pumps for salt farmers of Kutch,GOLD,2023,1345,Agriculture,Improved irrigation management,Reduction,AMS-I.B. Mechanical energy for the user with or without electrical energy,India,Southern Asia,2017,Gold Standard Certified Project,No,4322
CB-129,GS6999,21 MW Wind Energy Project by Shree Cement Limited,GOLD,2023,7483,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,India,Southern Asia,2018,Gold Standard Certified Project,No,45317
CB-130,GS7468,300 MW Wind Energy Project by Green Infra Wind Energy Limited,GOLD,2024,279757,Renewable Energy,Wind,Reduction,,India,Southern Asia,2019,Gold Standard Certified Project,No,487922
CB-131,GS7469,50.6 MW Wind Energy Project by Powerica Limited,GOLD,2022,127598,Renewable Energy,Wind,Reduction,,India,Southern Asia,2019,Gold Standard Certified Project,No,101733
CB-132,GS7493,Erzurum Aziziye Solar Power Plant,GOLD,2024,11168,Renewable Energy,Solar - Centralized,Reduction,AMS-I.D. Grid connected renewable electricity generation,Türkiye,Western Asia,2019,Gold Standard Certified Project,No,14067
CB-133,GS7547,Bundled Solar Project 1 by Aditya Birla Group of Companies,GOLD,2021,332,Renewable Energy,Solar - Centralized,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,India,Southern Asia,2019,Gold Standard Certified Project,No,326914
CB-134,GS7549,Bundled Solar Project 2 by Aditya Birla Group of Companies,GOLD,2022,50873,Renewable Energy,Solar - Centralized,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,India,Southern Asia,2019,Gold Standard Certified Project,No,77735
CB-135,GS7637,GS7591 VPA 17 Central Mozambique Safe Water Programme,GOLD,2024,51200,Household & Community,Clean Water,Reduction,,Mozambique,Sub-Saharan Africa,2020,Gold Standard Certified Project,No,70000
CB-136,GS7638,GS7591 VPA 18 Central Mozambique Safe Water Programme,GOLD,2023,1291,Household & Community,Clean Water,Reduction,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption,Mozambique,Sub-Saharan Africa,2020,Gold Standard Certified Project,No,70000
CB-137,GS7737,Parque de los Llanos umbrella project,GOLD,2021,6341,Renewable Energy,Solar - Centralized,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Argentina,Latin America and the Caribbean,2019,Gold Standard Certified Project,No,21578
CB-138,ISOprj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,ISO,2024,5931,Engineered Removal,Biomass Carbon Removal & Storage,Long-Duration Removal,Biomass Geological Storage,United States,North America,2023,Validated,No,
CB-139,VCS1045,"Wind Power Project at Rajkot, Gujarat",VCS,2022,38677,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,India,Southern Asia,2012,Verification approval requested,No,47244
CB-140,VCS1207,Sinner Wind Power Project in Maharashtra,VCS,2021,20611,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,India,Southern Asia,2012,Crediting Period Renewal Requested,No,53038
CB-141,VCS1214,Vajrakarur Wind Power Project in Andhra Pradesh,VCS,2021,42260,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,India,Southern Asia,2012,Crediting Period Renewal Requested,No,124363
CB-142,VCS1319,Small-Scale Hydropower Project Sahanivotry In Madagascar.,VCS,2021,2380,Renewable Energy,Hydropower,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Madagascar,Sub-Saharan Africa,2008,Registered,No,46490
CB-143,VCS1328,Araku Valley Livelihood Project,VCS,2022,31871,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,AR-ACM0003 Afforestation and reforestation of lands except wetlands,India,Southern Asia,2014,Registered,No,80660
CB-144,VCS1380,Akinci Hydroelectric Power Plant,VCS,2022,161176,Renewable Energy,Hydropower,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Türkiye,Western Asia,2018,Registered,No,225831
CB-145,VCS1437,"Alaçati Wind Power Project, Turkey",VCS,2024,6090,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Türkiye,Western Asia,2016,Registered,No,29062
CB-146,VCS1438,"Germiyan Wind Power Project, Turkey",VCS,2021,19453,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Türkiye,Western Asia,2016,Registered,No,21039
CB-147,VCS1439,"Urla Wind Power Project, Turkey",VCS,2022,28850,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Türkiye,Western Asia,2016,Registered,No,26680
CB-148,VCS1665,HPP Project Liberia,VCS,2022,9680,Renewable Energy,Biomass,Reduction,AMS-I.F. Renewable electricity generation for captive use and mini-grid,Liberia,Sub-Saharan Africa,2018,Registered,No,3580
CB-149,VCS1732,Kinik Wind Power Plant,VCS,2021,40622,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Türkiye,Western Asia,2016,Registered,No,90271
CB-150,VCS1800,12 MW Raura Hydro Project by DLI Power,VCS,2022,450,Renewable Energy,Hydropower,Reduction,AMS-I.D. Grid connected renewable electricity generation,India,Southern Asia,2019,Registered,No,38464
CB-151,VCS1913,Erzurum Hinis Solar Power Plant,VCS,2024,7944,Renewable Energy,Solar - Centralized,Reduction,AMS-I.D. Grid connected renewable electricity generation,Türkiye,Western Asia,2019,Registered,No,7711
CB-152,VCS1949,Longyuan Mulilo De Aar Maanhaarberg Wind Energy Facility,VCS,2022,63704,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,South Africa,Sub-Saharan Africa,2017,Registered,No,304155
CB-153,VCS1954,Badamsha Wind Farm in Kazakhstan,VCS,2021,161134,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Kazakhstan,Central Asia,2020,Registered,No,232137
CB-154,VCS1975,Hong Phong 4 Solar 48 MW Project,VCS,2023,2033,Renewable Energy,Solar - Centralized,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Viet Nam,South-Eastern Asia,2019,Registered,No,77400
CB-155,VCS2093,Waste to Energy Projects by Mahindra Waste to Energy Solutions Limited,VCS,2021,15900,Renewable Energy,Biomass,Reduction,ACM0022 Alternative waste treatment processes,India,Southern Asia,2019,Registered,No,25707
CB-156,VCS2303,Energy Efficient Cooking Solution for low emission development in Nepal-2,VCS,2021,27523,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Nepal,Southern Asia,2018,Registered,No,33672
CB-157,VCS2311,Madagascar Improved Cookstove Project by KCM-Wood#CPA-W-001,VCS,2021,32489,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Madagascar,Sub-Saharan Africa,2021,Registered,No,37722
CB-158,VCS2312,Madagascar Improved Cookstove Project by KCM-Wood#CPA-W-002,VCS,2021,30802,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Madagascar,Sub-Saharan Africa,2021,Verification approval requested,No,18217
CB-159,VCS2313,Madagascar Improved Cookstove Project by KCM-Wood#CPA-W-003,VCS,2023,32298,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Madagascar,Sub-Saharan Africa,2021,Verification approval requested,No,37950
CB-160,VCS2314,Madagascar Improved Cookstove Project by KCM-Wood#CPA-W-004,VCS,2023,32885,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Madagascar,Sub-Saharan Africa,2021,Verification approval requested,No,13752
CB-161,VCS2315,Madagascar Improved Cookstove Project by KCM-Wood#CPA-W-005,VCS,2022,36338,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Madagascar,Sub-Saharan Africa,2021,Registered,No,37950
CB-162,VCS2341,Installation of high efficiency wood burning cookstoves in Zimbabwe,VCS,2022,554015,Household & Community,Cookstoves,Reduction,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,Zimbabwe,Sub-Saharan Africa,2020,Withdrawn,No,454274
CB-163,VCS2347,FOÇA BIOGAS ENERGY POWER PLANT,VCS,2021,197823,Agriculture,Manure Methane Digester,Reduction,AM0073 GHG emission reductions through multi-site manure collection and treatment in a central plant,Türkiye,Western Asia,2019,Registered,No,331795
CB-164,VCS2409,Cleaner Cooking Solutions Program,VCS,2023,70488,Household & Community,Cookstoves,Reduction,VM0050 Energy Efficiency and Fuel-Switch Measures in Cookstoves,Cambodia,South-Eastern Asia,2022,Registered,No,841424
CB-165,VCS2410,"REFORESTATION OF DEGRADED FOREST RESERVE AREAS IN GHANA, WEST AFRICA",VCS,2022,1785,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,AR-ACM0003 Afforestation and reforestation of lands except wetlands,Ghana,Sub-Saharan Africa,2017,Verification approval requested,No,46229
CB-166,VCS2449,Tradewater International Dominican Republic,VCS,2021,14810,Chemical Processes,Ozone Depleting Substances Recovery & Destruction,Reduction,VM0016 Recovery and Destruction of Ozone-Depleting Substances (ODS) from Products,Dominican Republic,Latin America and the Caribbean,2021,Late to verify,No,4000
CB-167,VCS2469,Afforestation and restoration of degraded forests in Eastern Paraguay or Forestal Azul Carbon Project,VCS,2022,1468,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,AR-ACM0003 Afforestation and reforestation of lands except wetlands,Paraguay,Latin America and the Caribbean,2018,Registered,No,14248
CB-168,VCS2555,"Improving rural livelihood through agroforestry practices in Punjab, India- II",VCS,2021,1900,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,AR-ACM0003 Afforestation and reforestation of lands except wetlands,India,Southern Asia,2018,On Hold - see notification letter,No,1571328
CB-169,VCS2673,UpEnergy-Social and Climate Impact Programme- Nigeria-1,VCS,2024,16768,Household & Community,Cookstoves,Reduction,VM0050 Energy Efficiency and Fuel-Switch Measures in Cookstoves,Nigeria,Sub-Saharan Africa,2022,Registered,No,1633731
CB-170,VCS2676,Community Carbon Efficient Cooking Programme - Tanzania-1,VCS,2022,73430,Household & Community,Cookstoves,Reduction,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications; VM0050 Energy Efficiency and Fuel-Switch Measures in Cookstoves,Tanzania,Sub-Saharan Africa,2022,Registered,No,899445
CB-171,VCS2685,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-009,VCS,2021,36130,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Madagascar,Sub-Saharan Africa,2021,Verification approval requested,No,19372
CB-172,VCS2687,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-010,VCS,2023,36354,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Madagascar,Sub-Saharan Africa,2021,Registered,No,37950
CB-173,VCS2688,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-011,VCS,2021,35391,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Madagascar,Sub-Saharan Africa,2021,Registered,No,37950
CB-174,VCS2689,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-012,VCS,2025,29750,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Madagascar,Sub-Saharan Africa,2021,Registered,No,37950
CB-175,VCS2690,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-013,VCS,2023,32557,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Madagascar,Sub-Saharan Africa,2021,Verification approval requested,No,37950
CB-176,VCS2707,ICS distribution for Improving life style of Malagasy Community,VCS,2024,41479,Household & Community,Cookstoves,Reduction,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,Madagascar,Sub-Saharan Africa,2022,Registered,No,313237
CB-177,VCS2738,Reducing Gas Leakages within the Karnaphuli Gas Distribution Network in Bangladesh,VCS,2021,202836,Industrial & Commercial,Leak Detection & Repair in Gas Systems,Reduction,"AM0023 Leak detection and repair in gas production, processing, transmission, storage and distribution systems and in refinery facilities",Bangladesh,Southern Asia,2019,Registered,No,839133
CB-178,VCS2749,DelAgua Clean Cooking Grouped Project,VCS,2021,611505,Household & Community,Bundled Energy Efficiency,Reduction,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,Rwanda,Sub-Saharan Africa,2019,Registered,No,545712
CB-179,VCS2752,Waste Energy project in Andhra Pradesh & Rajasthan,VCS,2021,6982,Renewable Energy,Biomass,Reduction,AMS-III.F. Avoidance of methane emissions through composting; AMS-III.AO. Methane recovery through controlled anaerobic digestion,India,Southern Asia,2020,Verification approval requested,No,21855
CB-180,VCS2772,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-014,VCS,2023,34117,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Madagascar,Sub-Saharan Africa,2021,Registered,No,37950
CB-181,VCS2773,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-015,VCS,2023,34170,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Madagascar,Sub-Saharan Africa,2021,Registered,No,37950
CB-182,VCS2774,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-016,VCS,2024,17176,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Madagascar,Sub-Saharan Africa,2021,Registered,No,37950
CB-183,VCS2775,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-017,VCS,2022,33530,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Madagascar,Sub-Saharan Africa,2021,Registered,No,37950
CB-184,VCS2776,Madagascar Improved CookStove Project by KCM-Wood#CPA-W-018,VCS,2024,35489,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Madagascar,Sub-Saharan Africa,2022,Registered,No,37950
CB-185,VCS2777,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-019,VCS,2022,35109,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Madagascar,Sub-Saharan Africa,2021,Registered,No,37950
CB-186,VCS2778,Madagascar Improved CookStove Project by KCM-Wood#CPA-W-020,VCS,2024,16410,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Madagascar,Sub-Saharan Africa,2022,Registered,No,37950
CB-187,VCS2779,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-021,VCS,2025,28415,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Madagascar,Sub-Saharan Africa,2021,Registered,No,37950
CB-188,VCS2780,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-022,VCS,2023,31608,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Madagascar,Sub-Saharan Africa,2022,Registered,No,37950
CB-189,VCS2794,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-030,VCS,2022,238264,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Madagascar,Sub-Saharan Africa,2022,Registered,No,37950
CB-190,VCS2825,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-006,VCS,2023,34124,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Madagascar,Sub-Saharan Africa,2021,Verification approval requested,No,37950
CB-191,VCS2826,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-007,VCS,2023,34454,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Madagascar,Sub-Saharan Africa,2021,Verification approval requested,No,37950
CB-192,VCS2827,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-008,VCS,2021,36510,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Madagascar,Sub-Saharan Africa,2021,Registered,No,37950
CB-193,VCS2924,Grouped Projects for Laos Improved Cookstove,VCS,2023,337703,Household & Community,Cookstoves,Reduction,VM0050 Energy Efficiency and Fuel-Switch Measures in Cookstoves,Laos,South-Eastern Asia,2023,Registered,No,300000
CB-194,VCS2925,Grouped Projects for Cambodia Improved Cookstove,VCS,2025,45962,Household & Community,Cookstoves,Reduction,VM0050 Energy Efficiency and Fuel-Switch Measures in Cookstoves,Cambodia,South-Eastern Asia,2022,Registered,No,7172213
CB-195,VCS2930,Reducing Gas Leakages within the Titas Gas Distribution Network in Bangladesh,VCS,2021,3893392,Industrial & Commercial,Leak Detection & Repair in Gas Systems,Reduction,"AM0023 Leak detection and repair in gas production, processing, transmission, storage and distribution systems and in refinery facilities",Bangladesh,Southern Asia,2021,Verification approval requested,No,3289487
CB-196,VCS3021,Reducing Gas Leakages within North West and other sub-areas of the Titas Gas Distribution Network in Bangladesh,VCS,2022,310380,Industrial & Commercial,Leak Detection & Repair in Gas Systems,Reduction,"AM0023 Leak detection and repair in gas production, processing, transmission, storage and distribution systems and in refinery facilities",Bangladesh,Southern Asia,2022,Registered,No,1090993
CB-197,VCS3052,Grouped Projects For Cambodia Water Purifier,VCS,2023,212125,Household & Community,Clean Water,Reduction,AMS-I.E. Switch from non-renewable biomass for thermal applications by the user; AMS-III.AV. Low greenhouse gas emitting safe drinking water production systems,Cambodia,South-Eastern Asia,2022,Verification approval requested,No,43129
CB-198,VCS3096,UPLIFTING OF MALAGASY COMMUNITIES BY DISTRIBUTING EFFICIENT COOKING APPLIANCE,VCS,2022,23088,Household & Community,Cookstoves,Reduction,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,Madagascar,Sub-Saharan Africa,2022,Verification approval requested,No,1210110
CB-199,VCS3116,CAMBODIA PREY MOAN KHMER IMPROVED COOKSTOVE PROGRAM I,VCS,2022,22090,Household & Community,Cookstoves,Reduction,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,Cambodia,South-Eastern Asia,2022,Registered,No,381007
CB-200,VCS3158,Distribution of energy efficient cookstoves in India-2,VCS,2021,30492,Household & Community,Cookstoves,Reduction,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,India,Southern Asia,2021,Withdrawn,No,201152
CB-201,VCS3204,Grouped Projects For Laos Water Purifier,VCS,2025,134200,Household & Community,Clean Water,Reduction,AMS-III.AV. Low greenhouse gas emitting safe drinking water production systems,Laos,South-Eastern Asia,2023,Verification approval requested,No,65928
CB-202,VCS3239,Madagascar Fahatokiana Improved Cookstove Program,VCS,2024,54053,Household & Community,Cookstoves,Reduction,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,Madagascar,Sub-Saharan Africa,2022,Registered,No,510120
CB-203,VCS3298,Blitta – Togo Solar Power Plant,VCS,2021,748,Renewable Energy,Solar - Centralized,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Togo,Sub-Saharan Africa,2021,Registered,No,61326
CB-204,VCS3352,Improving Energy Efficiency in Homes Through Smart Thermostat Optimization,VCS,2022,186665,Household & Community,Lighting,Reduction,VM0008 Weatherization of Single-Family and Multi-Family Buildings,United States,North America,2021,Verification approval requested,No,402265
CB-205,VCS3654,Improved cookstove grouped project in Rwanda,VCS,2023,287973,Household & Community,Cookstoves,Reduction,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,Rwanda,Sub-Saharan Africa,2022,Registered,No,1376362
CB-206,VCS3699,DelAgua Improved Cookstove Grouped Project,VCS,2024,964417,Household & Community,Cookstoves,Reduction,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications; VM0050 Energy Efficiency and Fuel-Switch Measures in Cookstoves,Rwanda,Sub-Saharan Africa,2022,Registered,No,971601
CB-207,VCS3720,Giciye III Hydropower Project in Rwanda,VCS,2023,9385,Renewable Energy,Hydropower,Reduction,AMS-I.D. Grid connected renewable electricity generation,Rwanda,Sub-Saharan Africa,2020,Registered,No,25787
CB-208,VCS3837,DelAgua Clean Cooking Grouped Project in Sierra Leone,VCS,2025,981611,Household & Community,Cookstoves,Reduction,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,Sierra Leone,Sub-Saharan Africa,2023,Registered,No,68446
CB-209,VCS4000,DelAgua Clean Cooking Grouped Project in The Gambia,VCS,2023,121350,Household & Community,Cookstoves,Reduction,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications; VM0050 Energy Efficiency and Fuel-Switch Measures in Cookstoves,Gambia,Sub-Saharan Africa,2023,Registered,No,806956
CB-210,VCS4019,CO2 UTILIZATION IN CONCRETE - REMOVALS & REDUCTIONS – CarbonCure – Asia #1,VCS,2024,39118,Carbon Capture & Storage,Carbon Capture in Concrete,Reduction,VM0043 Methodology for CO2 Utilization in Concrete Production,Singapore,South-Eastern Asia,2022,Verification approval requested,No,84821
CB-211,VCS4150,DelAgua Clean Cooking Grouped Project in Rwanda,VCS,2023,1726601,Household & Community,Cookstoves,Reduction,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications; VM0050 Energy Efficiency and Fuel-Switch Measures in Cookstoves,Rwanda,Sub-Saharan Africa,2021,Registered,No,2123460
CB-212,VCS4151,BioLite Africa Improved Stove Program,VCS,2023,96348,Household & Community,Cookstoves,Reduction,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,Rwanda,Sub-Saharan Africa,2022,Registered,No,265156
CB-213,VCS4225,D.Light's Improved Cooking Project In Nigeria,VCS,2023,3507,Household & Community,Cookstoves,Reduction,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,Nigeria,Sub-Saharan Africa,2023,Registered,No,397068
CB-214,VCS4413,Household Biogas Program for Smallholder Farmers in India by SPEF and NDDB,VCS,2023,652,Household & Community,Biodigesters,Reduction,AMS-I.E. Switch from non-renewable biomass for thermal applications by the user; AMS-III.R. Methane recovery in agricultural activities at household/small farm level,India,Southern Asia,2021,Registered,No,12319
CB-215,VCS4531,Reducing Gas Leakages within the Hududgaz Gas Distribution Networks across Uzbekistan,VCS,2025,5812939,Industrial & Commercial,Leak Detection & Repair in Gas Systems,Reduction,"AM0023 Leak detection and repair in gas production, processing, transmission, storage and distribution systems and in refinery facilities",Uzbekistan,Central Asia,2023,Registered,No,7354473
CB-216,VCS5114,Grouped Projects for Safe Water Program in Uganda,VCS,2022,22619,Household & Community,Clean Water,Reduction,AMS-I.E. Switch from non-renewable biomass for thermal applications by the user; VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications; AMS-III.AV. Low greenhouse gas emitting safe drinking water production systems,Uganda,Sub-Saharan Africa,2022,Registered,No,429057
CB-217,VCS5115,Grouped Projects for Safe Water Program in Malawi,VCS,2022,12653,Household & Community,Clean Water,Reduction,AMS-I.E. Switch from non-renewable biomass for thermal applications by the user; VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications; AMS-III.AV. Low greenhouse gas emitting safe drinking water production systems,Malawi,Sub-Saharan Africa,2022,Registered,No,364574
CB-218,VCS5362,Shuangjianghu Wastewater Treatment Plant Project,VCS,2025,868,Waste Management,Methane Recovery in Wastewater,Reduction,AM0080 Mitigation of greenhouse gases emissions with treatment of wastewater in aerobic wastewater treatment plants,China,Eastern Asia,2023,Registered,No,29269
CB-219,VCS638,Rockingham County Landfill Gas Combustion Project,VCS,2022,8788,Waste Management,Landfill Methane,Reduction,ACM0001 Flaring or use of landfill gas,United States,North America,2010,Registered,No,57499
CB-220,VCS706,51 MW Wind Power Project at Chitradurga,VCS,2021,50857,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,India,Southern Asia,2008,Registered,No,127993
CB-221,VCS833,Winchester Landfill Gas Project,VCS,2022,37,Waste Management,Landfill Methane,Reduction,ACM0001 Flaring or use of landfill gas,United States,North America,2009,Verification approval requested,No,35318
