country,sector,cn_code,description,default_direct_tco2e_per_t,default_indirect_tco2e_per_t,default_total_tco2e_per_t,production_route_of_benchmark
Kazakhstan,Iron and steel,7209,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, cold-rolled ""cold-reduced"", not clad, plated or coated","5,360",N/A,"5,360",(C)
Kazakhstan,Iron and steel,7213,"Bars and rods of iron or non-alloy steel, hot-rolled, in irregularly wound coils","5,180",N/A,"5,180",(C)
Kazakhstan,Iron and steel,7219 12,"Flat-rolled products of stainless steel, of a width of>= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 4,7 mm and <= 10 mm","4,780",N/A,"4,780",
Kazakhstan,Iron and steel,7326 90 98,"Articles of iron or steel, n.e.s.","5,360",N/A,"5,360",(C)
Kazakhstan,Aluminium,7601,Unwrought aluminium,"1,870",N/A,"1,870",(K)
Kazakhstan,Aluminium,7604 21 00,Hollow profiles,"2,230",N/A,"2,230",(K)
Kazakhstan,Aluminium,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm","2,670",N/A,"2,670",(K)
Kazakhstan,Aluminium,7608,Aluminium tubes and pipes,"2,230",N/A,"2,230",(K)
Kazakhstan,Aluminium,7610 90 90,Other,"2,230",N/A,"2,230",(K)
Viet Nam,Fertilisers,2808 00 00,Nitric acid; sulphonitric acids,"2,410","0,050","2,460",
Viet Nam,Fertilisers,2814 10 00,Anhydrous ammonia,"3,460","0,150","3,610",
Viet Nam,Fertilisers,3102 10 19,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)","2,310","0,120","2,430",
Viet Nam,Fertilisers,3102 30 90,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","2,630","0,120","2,750",
Viet Nam,Fertilisers,3105 20 10,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","1,160","0,110","1,270",
Viet Nam,Fertilisers,3105 30 00,"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","0,810","0,070","0,880",
Viet Nam,Iron and steel,7201,"Pig iron and spiegeleisen, in pigs, blocks or other primary forms","2,190",N/A,"2,190",
Viet Nam,Iron and steel,7202 41,"Ferro-chromium, containing by weight > 4% of carbon",-,N/A,-,
Viet Nam,Iron and steel,7203,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms",-,N/A,-,
Viet Nam,Iron and steel,7207 11 14,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of <= 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)","2,350",N/A,"2,350",(C)
Viet Nam,Iron and steel,7208,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled, not clad, plated or coated","2,350",N/A,"2,350",(C)
Viet Nam,Iron and steel,7209,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, cold-rolled ""cold-reduced"", not clad, plated or coated","2,370",N/A,"2,370",(C)
Viet Nam,Iron and steel,7213,"Bars and rods of iron or non-alloy steel, hot-rolled, in irregularly wound coils","2,350",N/A,"2,350",(C)
Viet Nam,Iron and steel,7219 12,"Flat-rolled products of stainless steel, of a width of>= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 4,7 mm and <= 10 mm",-,N/A,-,
Viet Nam,Iron and steel,7326 90 98,"Articles of iron or steel, n.e.s.","2,370",N/A,"2,370",(C)
Viet Nam,Aluminium,7601,Unwrought aluminium,"0,360",N/A,"0,360",(L)
Viet Nam,Aluminium,7604 21 00,Hollow profiles,"2,040",N/A,"2,040",(L)
Viet Nam,Aluminium,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm","2,480",N/A,"2,480",(L)
Viet Nam,Aluminium,7608,Aluminium tubes and pipes,"2,040",N/A,"2,040",(L)
Viet Nam,Aluminium,7610 90 90,Other,"2,040",N/A,"2,040",(L)
Algeria,Cement,2507 00 80 80,Calcined clay,-,-,-,
Algeria,Cement,2523 10 00 90,Other clinker including grey clinker,"1,240","0,040","1,280",(A)
Algeria,Cement,2523 29 00,Grey Portland cement,"1,230","0,060","1,300",
Algeria,Fertilisers,2808 00 00,Nitric acid; sulphonitric acids,"2,490","0,040","2,530",
Algeria,Fertilisers,2814 10 00,Anhydrous ammonia,"1,960","0,120","2,080",
Algeria,Fertilisers,3102 10 19,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)","1,320","0,100","1,410",
Algeria,Fertilisers,3102 30 90,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","2,330","0,090","2,420",
Algeria,Fertilisers,3105 20 10,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","0,970","0,090","1,060",
Algeria,Fertilisers,3105 30 00,"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","0,460","0,050","0,510",
Algeria,Iron and steel,7201,"Pig iron and spiegeleisen, in pigs, blocks or other primary forms","2,870",N/A,"2,870",
Algeria,Iron and steel,7202 41,"Ferro-chromium, containing by weight > 4% of carbon",-,N/A,-,
Algeria,Iron and steel,7203,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms","0,810",N/A,"0,810",
Algeria,Iron and steel,7207 11 14,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of <= 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)","3,000",N/A,"3,000",(C)
Algeria,Iron and steel,7208,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled, not clad, plated or coated","3,000",N/A,"3,000",(C)
Algeria,Iron and steel,7209,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, cold-rolled ""cold-reduced"", not clad, plated or coated","3,000",N/A,"3,000",(C)
Algeria,Iron and steel,7213,"Bars and rods of iron or non-alloy steel, hot-rolled, in irregularly wound coils","3,000",N/A,"3,000",(C)
Algeria,Iron and steel,7219 12,"Flat-rolled products of stainless steel, of a width of>= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 4,7 mm and <= 10 mm","3,300",N/A,"3,300",
Algeria,Iron and steel,7326 90 98,"Articles of iron or steel, n.e.s.","3,000",N/A,"3,000",(C)
Algeria,Aluminium,7601,Unwrought aluminium,"0,360",N/A,"0,360",(L)
Algeria,Aluminium,7604 21 00,Hollow profiles,"1,160",N/A,"1,160",(L)
Algeria,Aluminium,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm","1,600",N/A,"1,600",(L)
Algeria,Aluminium,7608,Aluminium tubes and pipes,"1,160",N/A,"1,160",(L)
Algeria,Aluminium,7610 90 90,Other,"1,160",N/A,"1,160",(L)
Morocco,Cement,2507 00 80 80,Calcined clay,-,-,-,
Morocco,Cement,2523 10 00 90,Other clinker including grey clinker,"0,850","0,060","0,900",(A)
Morocco,Cement,2523 29 00,Grey Portland cement,"0,860","0,100","0,950",
Morocco,Fertilisers,2808 00 00,Nitric acid; sulphonitric acids,"2,480","0,060","2,540",
Morocco,Fertilisers,2814 10 00,Anhydrous ammonia,"2,030","0,180","2,200",
Morocco,Fertilisers,3102 10 19,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)","1,360","0,140","1,500",
Morocco,Fertilisers,3102 30 90,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","2,350","0,140","2,490",
Morocco,Fertilisers,3105 20 10,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","0,990","0,130","1,120",
Morocco,Fertilisers,3105 30 00,"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","0,480","0,080","0,550",
Morocco,Aluminium,7601,Unwrought aluminium,"0,360",N/A,"0,360",(L)
Morocco,Aluminium,7604 21 00,Hollow profiles,"0,750",N/A,"0,750",(L)
Morocco,Aluminium,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm","1,190",N/A,"1,190",(L)
Morocco,Aluminium,7608,Aluminium tubes and pipes,"0,750",N/A,"0,750",(L)
Morocco,Aluminium,7610 90 90,Other,"0,750",N/A,"0,750",(L)
Other Countries and Territories,Cement,2507 00 80 80,Calcined clay,"0,210","0,070","0,280",
Other Countries and Territories,Cement,2523 10 00 90,Other clinker including grey clinker,"1,370","0,050","1,410",(A)
Other Countries and Territories,Cement,2523 29 00,Grey Portland cement,"1,360","0,080","1,440",
Other Countries and Territories,Fertilisers,2808 00 00,Nitric acid; sulphonitric acids,"2,770","0,040","2,810",
Other Countries and Territories,Fertilisers,2814 10 00,Anhydrous ammonia,"2,970","0,150","3,130",
Other Countries and Territories,Fertilisers,3102 10 19,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)","2,600","0,120","2,720",
Other Countries and Territories,Fertilisers,3102 30 90,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","2,640","0,110","2,750",
Other Countries and Territories,Fertilisers,3105 20 10,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","1,100","0,120","1,230",
Other Countries and Territories,Fertilisers,3105 30 00,"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","0,710","0,080","0,780",
Other Countries and Territories,Iron and steel,7201,"Pig iron and spiegeleisen, in pigs, blocks or other primary forms","3,480",N/A,"3,480",
Other Countries and Territories,Iron and steel,7202 41,"Ferro-chromium, containing by weight > 4% of carbon","2,350",N/A,"2,350",
Other Countries and Territories,Iron and steel,7203,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms","1,325",N/A,"1,325",
Other Countries and Territories,Iron and steel,7207 11 14,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of <= 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)","3,996",N/A,"3,996",(C)
Other Countries and Territories,Iron and steel,7208,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled, not clad, plated or coated","4,049",N/A,"4,049",(C)
Other Countries and Territories,Iron and steel,7209,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, cold-rolled ""cold-reduced"", not clad, plated or coated","4,101",N/A,"4,101",(C)
Other Countries and Territories,Iron and steel,7213,"Bars and rods of iron or non-alloy steel, hot-rolled, in irregularly wound coils","3,996",N/A,"3,996",(C)
Other Countries and Territories,Iron and steel,7219 12,"Flat-rolled products of stainless steel, of a width of>= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 4,7 mm and <= 10 mm","4,940",N/A,"4,940",
Other Countries and Territories,Iron and steel,7326 90 98,"Articles of iron or steel, n.e.s.","4,151",N/A,"4,151",(C)
Other Countries and Territories,Aluminium,7601,Unwrought aluminium,"2,203",N/A,"2,203",(K)
Other Countries and Territories,Aluminium,7604 21 00,Hollow profiles,"3,251",N/A,"3,251",(K)
Other Countries and Territories,Aluminium,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm","3,717",N/A,"3,717",(K)
Other Countries and Territories,Aluminium,7608,Aluminium tubes and pipes,"3,220",N/A,"3,220",(K)
Other Countries and Territories,Aluminium,7610 90 90,Other,"3,212",N/A,"3,212",(K)
